order_id,product_id,seller_id,product_category_name,price,shipping_charges,product_weight_g,product_length_cm,product_height_cm,product_width_cm
u6rPMRAYIGig,1slxdgbgWFax,3jwvL6ihC45G,toys,24.1,20.9,50,16,5,11
ohY8f4FEbX19,77PgsiElQLeB,GlLj704QXlDB,electronics,42.89,12.28,200,21,7,14
I28liQek73i2,QVlD26X1y7NI,V3iKL8r9W9NR,furniture_decor,50.21,67.11,1000,100,5,20
bBG1T89mlY8W,yWlFGkKYfrpa,RNBdBKsXebna,toys,89.1,62.05,8950,40,30,40
CYxJJSQS8Lbo,h6MCbrwh5kiC,5Ja2lH0N2OZt,toys,2139.99,9.41,2301,32,35,34
kUkQCFPtDvrC,CApN1zdCu8Ad,smK689qrlIx3,toys,84.55,20.65,400,22,27,27
eV98svHRmPNG,HOJj2KbHY8er,9hrosJpQLxRs,toys,23.95,23.87,12850,36,56,56
b2tsoISX5lnP,bKrL5OryV9HU,SSiPMxP6t9t9,toys,692,44.59,18800,60,40,42
O0D3th8M88nF,7ba9znpcLheP,WTbhLip6Y9IF,toys,649.75,39.88,375,16,8,11
yBTGlSf8GGMV,TLhoqYaQLJ5g,ynoKalx03eHF,toys,518.18,2.46,200,16,16,16
OoHJ0WBqlxln,EG4wDSpFyTth,TuPm19CMKvrM,health_beauty,58.1,26.26,250,22,10,18
qvrK7ROfp1w6,hoFRvSkFE7Xv,2jTASjIU2rIf,home_appliances,420.07,30.66,950,25,11,15
uNUwbkr3jhfD,YLYPEDYgvdfH,3e9JGBdDRF6C,toys,318.33,27.73,250,23,13,21
j4hiZpWSGa1T,XnVJHXWoT9t9,Q2NwKBfUdtHW,toys,34,60.03,3100,30,30,30
6J3ZtW3UMsR9,cDHQRx6Mr5x7,XLxN4hdOlYco,toys,52,42.76,100,19,3,11
CKtqZeTFa6Ov,cKboTGrWp54z,OfafuCsnlLjb,toys,509.99,56.8,2600,17,17,60
e7xeH7PfGWFM,MUIEAN159RuU,kYHploWLdvqh,baby,820.05,47.55,450,30,7,20
y7ICBanZzdHp,W5lSpNbHbIjE,fsdM6QZEnGMM,toys,692,46.76,1150,33,4,28
bZFqy2PEMhhc,claM69kKTNfa,EZZCNVOVjDlq,toys,74.89,131.63,450,27,16,27
ub5scd3uMflH,aUvBxYvPYgvN,l1pYW6GBnPMr,toys,820,47.55,350,17,4,12
yAmRuBPWp1vO,ccg64CBDaXEK,y58cZren4xNt,toys,40.95,25.09,1100,24,21,16
srKcniC9yOFm,C0fYrgNXAm4X,YerZo8Vsdkga,toys,100,25.87,700,30,36,20
2Jbr1MhEmkIs,hBVeRiNmH8jL,q1Q2n7nr6h9B,toys,333.5,25.28,3625,29,38,26
Tb14VgvCwPuw,8IhgV2nH9kXE,HaUIinFOemaU,health_beauty,91.33,42.88,700,25,12,19
KKm2sesYGRq8,F7VM3KqshbPZ,j6ZQXHPSPppN,bed_bath_table,509.99,31.33,1300,43,5,30
dwJNR7yxYRLb,rfAfXKCzKmqX,3KuTukGXgD7C,toys,518.18,6.87,367,17,12,12
86uPyTFO0VnJ,fBYJ0RAV9NzF,7Qp1NwfnM8I2,perfumery,107.63,52.93,400,18,18,12
KOTqFLF3sprZ,mHI4NBBHLa3q,dHUHvmn8Gewy,toys,820.05,239.14,150,16,9,11
RQi6usDkH0z5,p9owG1LeMQyo,8nCo4Zb12mDs,toys,71.25,8.37,2100,30,24,25
lRPOThT61ZfO,q1g2MXdXLhY1,RKad98cTxhSb,toys,53.99,50.28,450,45,15,35
25pQorIsT9XG,dUoMatEvc2jC,xTzRihyf4Cu3,food_drink,22.97,38.66,600,28,15,20
CA0KeXrOx4Va,EtByr6hYFH77,tNJnfkCxzhmN,toys,117.56,26.52,850,25,18,40
KnUNh8bnaKd9,74QWytNFaRdz,coi9xkdo66JI,toys,100,29.66,200,18,14,17
xYh4tcmBf0pq,fv7KNAysdXlN,MvBLo1GhlfWv,toys,152.4,20.9,260,21,16,20
D5YWaLz32bm9,wfUecfuVgluN,RNFE5zNAmF9M,toys,45.05,90.98,725,30,9,27
XhmzJrChXt1C,uX3peyoIafeb,ux1d7N0zioFv,toys,55.83,32.79,1700,42,10,36
xyukk6AHT526,cSXYaf2R23NY,cJjMnhGSG3Hz,housewares,420.07,7.52,300,35,4,15
8LH9cFjaFFLw,mJHxwcpqG1n6,w64BqIsmpk4u,toys,254.97,51.45,400,24,7,14
WCVW0rJ4udYk,Y9RZLlJmz7ht,8rHUnSQeQcMj,toys,220.99,9.54,125,16,12,12
pvYF1MU8i064,mlh1QSbPODrn,T7OJcZtdnwO5,toys,56.89,45.85,800,42,36,25
bhMwu9M1F3pM,LACwfilTTi3G,24mjkJMrK51h,toys,23.1,31.99,9325,50,18,28
iUEMkbaTWXER,0zCNWMABd3aW,iAF0NxaypyZB,baby,597.89,87.83,2300,65,15,15
sZG0zVMaFAXJ,50ddJtKO3HR1,yHsOFiqVrV1u,toys,518.18,38.66,3150,39,30,29
u49f51uCjN3j,XoreWdNE59ms,dHUHvmn8Gewy,toys,399.2,20.9,200,16,9,11
Whn3HZ9xudbF,6QtH1B0l31bh,V3iKL8r9W9NR,toys,107.63,133.3,2800,36,11,26
UuMDtqNcmyUC,g2nsxyGqPtjO,gmJ10puzztav,toys,56.7,6.08,275,23,18,28
v5gjarBxJsbo,GBRpbhWI9MRb,bI5cDrYjs9Qa,toys,281.9,83.09,2200,22,22,22
3TVHEQZQTpNK,xQOinugRH3hN,lTpUZrtW5FYQ,furniture_decor,125.46,53.51,1600,24,27,39
hJq9LTbltF0f,S1AbuPvAdHZx,qI9UblMbsm1o,toys,410,45.41,600,17,22,20
cqbIl6jpDT2u,qDgjT36KwfcF,HPuxRyj1uNUP,furniture_decor,128.99,14,2500,40,10,30
LB5ptHNQKAFz,i1Clmz1s1Y35,yGbPyLPc8PmT,toys,2899,32.34,200,16,2,11
903k3PvOOCNz,Rugpsd6wUZpm,EqPcJSwcfSMn,watches_gifts,898.9,7.37,757,19,14,15
cv7Hxy6CHEtO,5Nm9KRKxfEOi,8mVLKV0XOTsx,toys,111.27,35.19,3500,55,5,40
CscZnJreINZO,G0Jl0sANrl5j,j6ZQXHPSPppN,toys,150.82,9.96,1600,38,7,28
mG9DF0eoAvGx,i8rOWNVCU8SG,X5fhqRmuvQ9Z,toys,579.75,48.82,200,17,11,15
hCbJt8U6Ww3N,7ymC4wrimXhe,K0qPVGdA91KO,toys,1094.04,13.5,1350,30,20,20
0llz1DKEU0D0,x5U2lQcr1Slp,AYTvmj7w9EFz,toys,820.05,6.87,550,17,28,11
liA5pvBYs64o,HMrkOFFXRiNb,smK689qrlIx3,toys,509.99,32.34,400,30,20,25
KNa3m4B9oN3I,4DMLAKWbfjYB,vmUdCiLPoz75,toys,51.5,4.36,7400,80,15,60
KZs2qgGZoOSX,o0wzlENKuuPY,OfafuCsnlLjb,toys,509.99,38.66,600,17,17,17
RtGO0hlWZEvO,y2MAnns4G96G,vlLUp3U56e8x,computers_accessories,71.25,72.16,207,19,11,14
v4xqa1KwmNvE,8EMcxO7AFhVP,vlLUp3U56e8x,toys,150.82,27.56,180,17,10,13
LgBjaoAZT313,pnQbUcmERqLT,C6WhdSZuLC8r,toys,820.05,12.28,250,16,16,16
g2feI21w6ZER,eySkDvowFkGC,e77U7Zk968NA,toys,1129.34,38.63,700,41,13,26
UXFVXUDBBnN2,OyNjP3ysqnRA,94l6BertAIx7,health_beauty,128.99,29.34,1250,42,11,12
NiYQcWqn2dx1,UhiYwrBc5ixN,2Vzr14MB7bRD,perfumery,669.9,20.25,442,23,15,17
uJxv0BlTzZKk,gyCm1QS60Z2r,2a07LobkzHUx,toys,127.77,55.54,500,40,15,40
Gnt5P2sMZoDE,XicPOT40hSxE,nQlmkVGs3xYh,electronics,42.89,29.68,501,19,10,91
EP3hioG5H9fK,DMB6KqQisnZE,aeWbd3M28ShO,toys,148.5,38.51,400,20,5,21
Qu1j9oOfSK6t,65N5NNUZppq6,ZncPmKR6Mxkk,toys,172.13,12.28,700,25,10,25
eNNSfcB8zJAv,JNVFLT1PwSb6,VbREMx1xh7Eb,toys,113.09,146.3,2000,30,12,16
KBjiJXcRN9WP,zgeloe0hFyo4,73jr4z4JJLzT,toys,509.99,32.34,150,16,5,20
7QE67FF0Om5N,Lqe98dYBeetq,HPuxRyj1uNUP,toys,820.05,32.95,950,40,5,30
bVYJzm2XCyxo,Pb29t2XBfP6Q,2a07LobkzHUx,furniture_decor,176.97,35.87,700,35,4,30
blIKUJKqhcAw,mCDJ1miTla4u,MD95fJyKH99j,toys,44.85,24.19,350,16,12,14
glRonpQa8jMJ,Zi9DvAJMTNK7,AQc9GKfgidV6,toys,120.49,49.55,390,23,14,17
MHEaSt8SPeoG,idj1HKBW8p4Y,2a07LobkzHUx,toys,132.9,47.55,200,25,2,17
cB2f9bMTD38b,6j4YiywQs19u,5Ja2lH0N2OZt,toys,23.95,72.52,5100,13,76,41
GayOlUb6Vmw5,2H4WpZ0EIw4e,Pop7GYTjKtm4,perfumery,849.5,37.91,550,19,13,18
DFJtb4hzzmHX,E1esbswKYvev,yfNN6zuwypOw,telephony,820,23.71,325,20,15,14
6whGhQyugS0N,iKnmCaCAMSTw,Sxff4PDBw1XG,toys,215.9,17.46,4100,53,21,36
9NeeIZEF4rYg,wUg0kOtAM0q5,qeM9i4J3ypy2,toys,95.03,33.73,1100,20,30,30
zyqeRBdn2QIz,poyljoTAnq9L,ruq0u2ZpAMDr,toys,100,20.22,900,44,2,36
ZPtEC8wwF6WC,yTJSPjwF1iY0,n5YX70jIKP0h,toys,17.75,15.14,650,16,10,11
n5anh2ES0Qrx,6lqYiC1kC4WA,qI9UblMbsm1o,toys,588.5,27.8,2425,29,30,19
ZAZc30nO7mBG,tzs5x0lLkB4v,9xdiogxz7kit,toys,150.82,23.6,117,21,12,13
2h0BGlUwGRS1,F1FBNZnox1VK,1UBbfTkC9FVR,garden_tools,525.99,60.65,16400,100,30,30
0bLeA89iFL8i,BKF4Stwoyt2S,yWUu6WhwFUAg,home_construction,100,4.85,900,32,24,11
1jjbu6TXyRch,oo5YFvkDJXfS,yGbPyLPc8PmT,toys,1298.99,50.28,250,16,2,20
amNpLmLRtqds,K8lKuHK7ZRsb,0G3Q4xIWFhMg,toys,70.83,67.4,7600,30,31,38
J3NBaP7MoqMg,NRdnqAmNJ3Gg,Fh5z5uvA4neX,toys,307.5,17.38,400,31,5,16
UGOUFp6lOvfy,7ymC4wrimXhe,K0qPVGdA91KO,toys,1094.04,209.63,1350,30,20,20
W1NJYnYkaukv,diXfR20Ry7N3,bl8PTwqK0kvN,computers_accessories,42.89,70.82,200,20,15,15
mekmxzX7xg66,7rmvkmjvPkYA,dihwpSHrqtI2,furniture_decor,164.98,10.8,800,40,5,11
zgIMZEReS5B1,y5FI0l0HjdGT,qI9UblMbsm1o,computers_accessories,475,20.9,217,16,14,14
sqqcJi5UVxtn,TznsJjXJH6cK,i4BuPduAnCgp,toys,128.99,75.5,1700,25,25,25
726qzHfAqEZO,D984F4DTEtgY,GCpOQODXyoev,costruction_tools_tools,77.8,60.46,400,16,2,11
SPsLXC6EZB6w,kUApGiacE8R7,UsPT5m7V2m8I,toys,820,32.34,50,18,18,12
QLqDouIaUQyr,RepVMI5KCfFQ,cjilIa8d2RUG,toys,189.98,74.27,475,35,21,30
pKPwllWcu4W3,rjqk8lHzimCk,A7s2wiNKJ3HW,toys,59.67,11.75,250,27,13,17
8WTKsujGSPr0,oRWowdRxzkkE,Ek6ADNUZ7ej9,toys,29.33,51.78,300,20,9,15
NTvOc3tRPuW5,0vxqaoazyUrJ,9fFFM6RBxCkT,toys,61.89,21.35,700,30,30,40
Io6QaiAgVYoZ,oF8tGJeHNeOE,tNJnfkCxzhmN,toys,0.85,24.57,250,16,10,16
Xknxc0MlpwU6,HpuiH593gmeG,V3iKL8r9W9NR,toys,135.21,30.66,350,25,8,19
TmyZSJp1HpV7,pTrK5MYzL4Ca,vlLUp3U56e8x,computers_accessories,18.42,56.66,233,16,14,15
GNz6cxwDUyoM,z3XHloP0B6UK,TD2AMTmc5Ixg,toys,238.64,6.87,150,16,7,16
t0EtYo45Wcw7,A7oAK6cYaqZ4,Wk0JznmZOo6h,auto,2.2,20.9,400,20,20,20
uCkWTkJzyQRA,WhlDdQRsqlZh,eCVvpO3y8lid,garden_tools,120.7,30.66,600,16,7,22
kHpIb3Vhkr2B,RXVEkfBO6tx3,mFvZj7UmZKhl,toys,44.63,70.82,100,16,7,11
JHwaDSRd7Yqk,DLKkjtQJpeYz,yOHHC1UUl2d5,toys,5.6,12.51,700,38,15,27
PqlLQqphGWMG,iaPbzG31q0Vz,ZYmjXZzv1NVS,toys,620.1,93.16,4000,43,35,18
J8Bc43diiiwa,O332ZRndALYI,yKLv906bPfTs,toys,2899,18.93,4800,22,63,22
T4K1lnPN7lH9,n8NlUmLkElPr,d3EdLm7hJGp3,toys,346.9,88.76,1100,32,16,16
qFGvBA8siR9C,HhAtKukEU7VT,UOGIrJtSldvd,toys,104.4,50.83,1867,36,6,36
DTG8rFMgpHXy,qKdBzmQEGR6b,TuPm19CMKvrM,toys,126.69,20.9,200,20,15,15
EzLqwURTMESq,eICb94TD3JP8,tAGG15NrxyNT,toys,380.9,48.99,7950,46,7,46
VfPfevghWKRz,y2MAnns4G96G,7OKhjPME8ZK3,computers_accessories,95.03,61.68,207,19,11,14
RrMH1HzjPDUy,icdtCDkjpSZQ,coi9xkdo66JI,toys,190.06,28.61,342,18,13,15
dgXkaqn9QIyl,RL7OKDCyY23o,oMX7XDg7PCkP,toys,820,55.95,350,16,5,20
GkihidwfzkNV,QzAC1fDWMbmk,ShJbjTW0ZGor,toys,106.74,35.88,100,11,11,11
vl4sZM3Me2dI,T04Mxb5gFcXd,2jTASjIU2rIf,toys,266.55,30.66,300,23,8,19
uKdtgTIV8ML0,BuMA9g0RCLlr,TBkUw9PKrND5,toys,78.8,10.8,450,16,7,11
Tao6yqzZqR8i,pTx5wvuygQnb,OnC6iPAbNc8Z,consoles_games,71.8,125.66,250,19,2,14
CRAW5FHTgef2,5EFBA7VYOItK,mmCZV9eruyuF,toys,367.9,28.68,321,19,14,13
hToNiABH0dXp,PmU4zDs3ZA49,4JfBsw8nXPBg,toys,1322.64,88.37,400,40,20,20
mUZI3vHznWIA,MQlNR59cgOB2,yJyItN8uakce,toys,24,33.9,1535,49,8,21
xgFgAUrPUHEk,t9T0NG1QQIGI,QNwKKOA9Ndbm,toys,358.8,19.47,6900,26,26,26
JgAkkK19yYhw,iUMmZb8oh0qu,P2nCHWuo0HC0,toys,777,39.75,573,35,13,11
3CD8klhI6sv6,HwPbP5N2qWCP,yvUEFO3OhNk6,toys,399.2,70.82,133,20,10,16
yA6ye44VAqXT,aiiImX7Pk53m,7KovPWNcMm5O,toys,34.7,24.78,1147,25,21,19
pshOBIa9uNaK,J3RLg1Bwun4Q,6RP6rI6FuNCn,toys,173.9,25.87,350,24,29,16
SpFKAoPp0ilG,Z0vMyDM0FvZn,sz6I1FR4ws2U,stationery,750,33.48,1000,36,6,29
hwV9K6iZVgnh,0eU2pGKaTuqj,783CRaGkNtcx,toys,966.9,66.03,5000,50,20,20
DBPnEuQDFDVb,7C0EFvQcwqRI,8pZmAfsfUaVE,toys,154.89,31.22,5900,40,40,40
CM47ksrL2R8A,1rFoOcG1sQwB,IfkTaAAVww4a,toys,149.5,18.01,100,40,2,24
6otDC7qi8cZh,AiKnucErxdfC,AYTvmj7w9EFz,home_appliances,123.49,29.58,4920,65,11,33
wq3LDwK546wG,sNAAI52Ft4Yx,drTVXhMYok4r,cool_stuff,220.99,27.68,150,16,7,12
w4jk8j2fTnhw,VE1XRfifT9hb,oqejBC0typqo,luggage_accessories,198.5,9.21,450,24,47,34
tZoVpxv5FVIH,dfAHqNQcTm3T,SgeUigb5Vbiv,toys,0.85,47.55,138,19,17,16
tFQGjmZndsM5,Biwi1BNtUB7l,r7VxefoTVHbb,toys,509.99,17.44,1500,30,22,30
nblJwrll1AS0,ZWyg4uNWPHjJ,yGbPyLPc8PmT,toys,2899,31.8,250,16,2,11
3vx9j3SvRUKg,pmQFBLygQ1oH,bNCLRjh6FYNu,toys,31,34.33,100,16,11,12
OPuvw5JcjfOh,X4L5ori5hRm1,ftbUjJ6Gsazg,toys,966.9,6.74,1850,46,12,43
kVpTE6tUo9w7,Biwi1BNtUB7l,r7VxefoTVHbb,toys,4099.99,67.36,1500,30,22,30
NecsYKNR6nba,wipKQnoUkikl,kCtvFj5ogKgY,toys,79.95,48.99,3100,27,27,27
fnSFBmKlfG9i,OV8uYkcbbZld,yGbPyLPc8PmT,watches_gifts,76.99,97.27,450,16,2,20
u2oKzCyv9sav,VAS6Q8niNy2w,AHG0TE6bRNNY,toys,1899,47.55,233,22,16,14
OtV6waAZRqcN,w6wfCWzpQ78I,SAgvSHND3dvC,toys,779.9,2.46,300,22,10,15
vhdr4kEZVJXi,kEslzWCkm0ZL,OnC6iPAbNc8Z,toys,136.9,31.2,175,24,3,17
kyeIOoUKvoIM,8P6w1wVsyDsG,suRnvK8Z8DQd,toys,36.89,104.98,1150,25,23,25
VZvjDMifWUUk,0p1rNofm8oi9,4x6Z2AgJ9ya3,baby,28.82,53.18,9400,75,15,50
GewZicdnVU4o,OfYbf6ptQ7S0,DhnYfWO3PJ5F,toys,140.93,0.65,11600,65,19,47
paJO30kb5azy,NkygN5yTKOgI,JcRdnPnWEDp7,toys,599.8,31.2,1400,26,41,26
Co6YY9CSER9B,ro08JPncYzLh,r7VxefoTVHbb,garden_tools,692,46.76,1650,30,22,30
1ADWBenqZlyI,Usi90p4RKMY1,Mi2ZCclAh7t8,health_beauty,31.75,38.98,434,20,16,18
YKY495iYCoqG,xJRyPvJqgafI,4SRv5bbOf4fh,toys,128.99,43.69,1175,34,20,22
MV5sovfkXA3U,3NEukCGJjNCr,gLmgFBt9KEP2,sports_leisure,148.5,16.46,2433,30,24,24
jQBSgqRWOpvl,IWTKXtyQPnuB,YlP5976VHgAM,toys,167,47.55,200,20,10,15
CtWqYNGFXvab,GvBzGCvvIC2D,v4i9GZGfxgTZ,toys,679,123.8,1000,53,8,18
obrJjCEHkABU,0DGoM1aFJKQb,TBkUw9PKrND5,toys,91.49,12.84,450,20,12,15
BmKm8T53Heik,4RokZRqcffze,cjx80DPt8xY1,toys,116.11,47.99,1950,35,12,23
WMaeamcmMFS7,yctXoGaUcJuM,dPgh591KNQAz,toys,148.5,38.3,600,18,9,13
80zasKxvt11B,BEAPTXoPz01D,jcGSXQvdyg7M,toys,694.65,161.82,1075,17,13,15
HW9Ogje6AlUA,gCcVSdlEOuof,Djfhy4pnkKOC,toys,188.8,49.17,17550,73,20,47
O3kEwpEBakLG,8EMcxO7AFhVP,vlLUp3U56e8x,toys,28.82,27.45,180,17,10,13
TKwhZWStGsmY,O332ZRndALYI,yKLv906bPfTs,toys,2899,17.44,4800,22,63,22
I54x5B7ZScB4,qh5eo3eA22JD,2IxTbqKqgUdA,toys,168.85,24.83,7150,17,8,32
KOrn1FCfjiwG,LjzRT54degE3,BGPWBRIq3VJB,toys,68.1,32.34,500,30,6,23
RI0Rc1aPQdUs,sAZlZF7GJJdr,16pMg4KJ3hIj,bed_bath_table,820,47.55,350,16,10,16
q4CIb4iWNj6w,ojAhyTeUlmLS,7lb1D27JQRX6,sports_leisure,97.05,161.82,500,22,15,22
ATrYoxeRKpjR,JKVUiz45iGB8,cUodQhgpRajF,toys,453.7,87.83,1614,31,16,28
k1rQ3PIw3yYp,yN7QdW9omLo6,9fBfKMiqf7Fj,home_appliances,65.41,6.08,700,20,6,11
lD9HnSAxViqE,gq42NYmDYSH7,RlOHlMxGbwXj,toys,106.74,20.86,9225,61,61,30
PX1ynyV2HPjl,VcU0FP9DjfBt,AvTLykupHOIB,toys,156.3,29.07,550,40,5,30
Gwq3kXZ8MW3c,VkLNxVykNlKl,SixfIXbZXuJK,toys,31.99,56.66,880,28,6,17
W3nEEHGY8aZe,M1QehWDYrOKu,NIsZOwBVPMQJ,toys,42.79,47.35,1800,52,5,52
mpXwWjfPlBSr,ooMfhtJJiM8o,xeWVu6d99qTQ,health_beauty,419.9,6.87,300,16,9,15
xneeAgYsRUlF,UMLfE5ekvVL1,4FPckp1t3j1n,housewares,257.57,7.74,16000,30,30,30
BRj5e8wXFtYd,dooIJeivMlv6,KH9VVC2iPaCb,toys,145.99,11.33,150,19,12,16
fuBWf4V2Fw1v,1R8bu0R8h2Pg,1b6QwEUEjB7M,toys,335.21,10.1,16300,50,30,50
mpPCmbAGPedF,rKXoWNJxVSE7,0Mzbc3aACMOQ,toys,148.5,31.74,6050,20,20,20
yb8LxW1FVkLV,0qtItiuCYJLB,ZsDn106jXrgr,toys,83.8,73.09,1800,35,20,30
7s3w2S5NqgHr,eWXIxR3gWdjy,VbREMx1xh7Eb,toys,15.86,50.83,2450,30,12,16
nWpya4oQZL6n,wEXYeIBMtNpz,7qJpsaaCZOk2,toys,71.8,88.21,1700,65,6,50
tytEgIj2Th3J,SLTlrWtcYt1m,r7VxefoTVHbb,toys,692,66.37,1750,37,22,40
Wa1rNI8dP7zs,Z0u1lpfu5xfm,bNCLRjh6FYNu,toys,100,61.32,400,16,9,11
fIrfCQsEFnE9,DL5BHCpE7rrL,2a07LobkzHUx,bed_bath_table,97.88,33.35,835,40,9,33
at7rWo8KPYVJ,b73bpEzJgugQ,QgSPgHi2XQs8,toys,80.38,47.55,275,18,4,12
PmfjmIs699a5,ifOyaTorkIqj,XePbD5Ocm6Yk,computers,43.21,2.52,12000,27,50,53
Na5LA4dY4q9A,noHAJVjnfbjD,fquh40THqSKm,toys,107.63,91.93,6513,64,37,38
BunZbvls0n1k,hmEnk83HcG3e,d8cgJZqYhwao,toys,50.4,57.41,10050,60,20,50
AhUvxUGYsopt,rfsGZzBijANi,Uhxp4jLBVzJq,toys,128.99,44.04,1600,30,5,30
