order_id,customer_id,order_purchase_timestamp,order_approved_at
u6rPMRAYIGig,I74lXDOfoqsp,11/18/2017 12:29,11/18/2017 12:46
ohY8f4FEbX19,47TuLHF2s7X5,6/2/2018 17:13,6/2/2018 20:12
I28liQek73i2,dQ0dqI8Qwlj8,1/8/2018 11:01,1/9/2018 7:24
bBG1T89mlY8W,iQCmWhNkIczb,3/10/2017 10:24,3/10/2017 10:24
CYxJJSQS8Lbo,Dp2g6JH8tO5Z,12/2/2017 10:04,12/5/2017 4:13
kUkQCFPtDvrC,s18Fn5Tz7Jml,7/26/2018 21:40,7/26/2018 21:50
eV98svHRmPNG,9rXAwNe0G0m5,2/13/2018 6:49,2/14/2018 6:46
b2tsoISX5lnP,o3yCAPMIPtLj,7/9/2018 3:40,7/9/2018 3:50
O0D3th8M88nF,PHGrixjXAt4t,5/28/2018 23:23,5/28/2018 23:35
yBTGlSf8GGMV,K6lNXbhXbvwg,2/28/2017 17:28,2/28/2017 19:20
OoHJ0WBqlxln,WaitNYVtRT2x,3/15/2018 10:00,3/15/2018 10:15
qvrK7ROfp1w6,WDjs7f3Yv8Va,5/13/2017 22:52,5/13/2017 23:08
uNUwbkr3jhfD,ViMUFfeZLwv5,4/4/2018 12:42,4/5/2018 2:08
j4hiZpWSGa1T,ZdAOMosp5YDg,3/1/2018 14:58,3/1/2018 15:15
6J3ZtW3UMsR9,jVsS0bHgLHcJ,3/6/2017 13:56,3/7/2017 4:03
CKtqZeTFa6Ov,D1KiQOWblWjh,8/12/2018 12:16,8/12/2018 12:30
e7xeH7PfGWFM,I1orDozbJsZY,3/2/2018 17:58,3/2/2018 19:42
y7ICBanZzdHp,bincH34GAiat,2/25/2018 19:13,2/25/2018 19:27
bZFqy2PEMhhc,J534NgM03SXi,1/20/2018 19:51,1/20/2018 20:20
ub5scd3uMflH,11rzNuxGsM6E,2/22/2018 16:47,2/22/2018 17:10
yAmRuBPWp1vO,AJoqBQ1l9z0V,10/21/2017 18:50,10/21/2017 19:05
srKcniC9yOFm,M5goXy4LtmuO,8/28/2017 20:36,8/28/2017 20:50
2Jbr1MhEmkIs,eRIr8uMQixin,1/28/2017 20:01,1/28/2017 20:31
Tb14VgvCwPuw,ZOgCiosZBHhF,5/4/2018 23:18,5/4/2018 23:33
KKm2sesYGRq8,Do7ckrlRk5rx,4/5/2017 10:27,4/6/2017 10:42
dwJNR7yxYRLb,bjThJDPGWpGK,3/15/2018 10:35,3/15/2018 10:50
86uPyTFO0VnJ,x15nG700z7OG,6/10/2018 13:20,6/10/2018 13:37
KOTqFLF3sprZ,Xh2kQlpOqm8I,2/5/2017 17:24,2/5/2017 17:41
RQi6usDkH0z5,gqBYWjnoUV7B,10/4/2016 13:22,10/4/2016 13:47
lRPOThT61ZfO,kmlqsg9Gk5uQ,3/9/2018 20:28,3/9/2018 20:48
25pQorIsT9XG,smZvvNLvV8Ez,7/3/2017 17:41,7/3/2017 17:55
CA0KeXrOx4Va,eOL1qbT6GIl5,6/5/2018 18:48,6/5/2018 19:13
KnUNh8bnaKd9,8CH2KOo6b3iE,7/18/2018 16:35,7/18/2018 16:50
xYh4tcmBf0pq,PGfqqeXWFN4T,5/30/2017 9:39,5/30/2017 9:50
D5YWaLz32bm9,f8I8oYaA7t7w,4/30/2018 18:55,5/1/2018 2:15
XhmzJrChXt1C,4LCk55VNuZB7,3/8/2017 14:09,3/8/2017 14:09
xyukk6AHT526,kuB5S1kHsjKK,4/2/2018 18:48,4/2/2018 19:07
