order_id,payment_sequential,payment_type,payment_installments,payment_value,profit
u6rPMRAYIGig,1,credit_card,2,155.77,18.69
ohY8f4FEbX19,1,credit_card,1,4.07,0.49
I28liQek73i2,1,wallet,1,381.59,45.79
bBG1T89mlY8W,1,credit_card,3,14.76,1.77
CYxJJSQS8Lbo,1,wallet,1,284.09,34.09
kUkQCFPtDvrC,1,credit_card,2,342.02,41.04
eV98svHRmPNG,1,credit_card,5,48.71,5.85
b2tsoISX5lnP,1,credit_card,1,204.4,24.53
O0D3th8M88nF,1,credit_card,3,997.37,119.68
yBTGlSf8GGMV,1,credit_card,3,204.62,24.55
OoHJ0WBqlxln,1,credit_card,2,57.57,6.91
qvrK7ROfp1w6,1,voucher,1,307.86,36.94
uNUwbkr3jhfD,1,wallet,1,21.55,2.59
j4hiZpWSGa1T,1,credit_card,3,4.18,0.50
6J3ZtW3UMsR9,1,wallet,1,257.42,30.89
CKtqZeTFa6Ov,1,credit_card,1,50.78,6.09
e7xeH7PfGWFM,1,credit_card,1,158.58,19.03
y7ICBanZzdHp,1,credit_card,4,162.62,19.51
bZFqy2PEMhhc,1,credit_card,1,159.82,19.18
ub5scd3uMflH,1,credit_card,1,277.25,33.27
yAmRuBPWp1vO,1,credit_card,6,372.19,44.66
srKcniC9yOFm,1,credit_card,4,134.66,16.16
2Jbr1MhEmkIs,1,credit_card,3,399.22,47.91
Tb14VgvCwPuw,1,credit_card,3,42.73,5.13
KKm2sesYGRq8,1,credit_card,1,109.59,13.15
dwJNR7yxYRLb,1,credit_card,6,97.98,11.76
86uPyTFO0VnJ,1,credit_card,4,271.86,32.62
KOTqFLF3sprZ,1,credit_card,5,110.12,13.21
RQi6usDkH0z5,7,voucher,1,120.47,14.46
lRPOThT61ZfO,1,credit_card,1,244.38,29.33
25pQorIsT9XG,1,credit_card,2,62.6,7.51
CA0KeXrOx4Va,1,credit_card,1,12.1,1.45
KnUNh8bnaKd9,1,credit_card,1,17.72,2.13
xYh4tcmBf0pq,2,voucher,1,8.13,0.98
D5YWaLz32bm9,1,credit_card,3,51.94,6.23
XhmzJrChXt1C,2,credit_card,6,215.05,25.81
xyukk6AHT526,1,credit_card,4,108.86,13.06
8LH9cFjaFFLw,1,credit_card,10,144.31,17.32
WCVW0rJ4udYk,1,wallet,1,118.61,14.23
pvYF1MU8i064,1,credit_card,1,131.43,15.77
bhMwu9M1F3pM,1,debit_card,1,169.39,20.33
iUEMkbaTWXER,1,credit_card,1,131.43,15.77
sZG0zVMaFAXJ,1,wallet,1,195.62,23.47
u49f51uCjN3j,1,credit_card,3,721.74,86.61
Whn3HZ9xudbF,1,credit_card,1,175.54,21.06
UuMDtqNcmyUC,1,credit_card,1,484.8,58.18
v5gjarBxJsbo,1,credit_card,1,803.04,96.36
3TVHEQZQTpNK,1,credit_card,1,233.05,27.97
hJq9LTbltF0f,1,credit_card,1,419.94,50.39
cqbIl6jpDT2u,1,wallet,1,111.21,13.35
LB5ptHNQKAFz,1,credit_card,2,41.17,4.94
903k3PvOOCNz,1,voucher,1,161.26,19.35
cv7Hxy6CHEtO,1,credit_card,1,364.41,43.73
CscZnJreINZO,1,credit_card,4,120.12,14.41
mG9DF0eoAvGx,1,credit_card,7,107.84,12.94
hCbJt8U6Ww3N,1,credit_card,6,409.79,49.17
0llz1DKEU0D0,1,credit_card,2,281.26,33.75
liA5pvBYs64o,1,credit_card,1,56.87,6.82
KNa3m4B9oN3I,1,wallet,1,211.82,25.42
KZs2qgGZoOSX,1,credit_card,2,718.09,86.17
RtGO0hlWZEvO,1,credit_card,1,357.28,42.87
v4xqa1KwmNvE,1,credit_card,2,189.92,22.79
LgBjaoAZT313,1,wallet,1,449.29,53.91
g2feI21w6ZER,1,credit_card,2,94.06,11.29
UXFVXUDBBnN2,1,credit_card,3,9.81,1.18
NiYQcWqn2dx1,1,credit_card,8,24.89,2.99
uJxv0BlTzZKk,1,voucher,1,289.55,34.75
Gnt5P2sMZoDE,1,debit_card,1,191.95,23.03
EP3hioG5H9fK,1,credit_card,6,117.62,14.11
Qu1j9oOfSK6t,1,credit_card,1,1185.58,142.27
eNNSfcB8zJAv,1,credit_card,1,21.13,2.54
KBjiJXcRN9WP,1,credit_card,2,56.87,6.82
7QE67FF0Om5N,1,wallet,1,136.94,16.43
bVYJzm2XCyxo,1,credit_card,2,41.93,5.03
blIKUJKqhcAw,1,credit_card,5,259.92,31.19
glRonpQa8jMJ,1,credit_card,1,344.53,41.34
MHEaSt8SPeoG,1,wallet,1,414.06,49.69
cB2f9bMTD38b,1,credit_card,1,170.6,20.47
GayOlUb6Vmw5,1,credit_card,6,227.74,27.33
DFJtb4hzzmHX,1,wallet,1,170.89,20.51
6whGhQyugS0N,1,wallet,1,150.74,18.09
9NeeIZEF4rYg,1,credit_card,10,78.18,9.38
zyqeRBdn2QIz,1,credit_card,8,620.56,74.47
ZPtEC8wwF6WC,1,wallet,1,69.88,8.39
n5anh2ES0Qrx,1,voucher,1,68.39,8.21
ZAZc30nO7mBG,1,credit_card,1,470.38,56.45
2h0BGlUwGRS1,13,voucher,1,85.24,10.23
0bLeA89iFL8i,1,credit_card,1,39.52,4.74
1jjbu6TXyRch,1,credit_card,1,24.72,2.97
amNpLmLRtqds,1,wallet,1,504.11,60.49
J3NBaP7MoqMg,1,credit_card,3,617.59,74.11
UGOUFp6lOvfy,1,wallet,1,903.81,108.46
W1NJYnYkaukv,1,credit_card,1,94.39,11.33
mekmxzX7xg66,1,wallet,1,84.68,10.16
zgIMZEReS5B1,2,voucher,1,188.85,22.66
sqqcJi5UVxtn,1,credit_card,2,463.15,55.58
726qzHfAqEZO,1,credit_card,1,61.96,7.44
SPsLXC6EZB6w,1,wallet,1,50.39,6.05
